id,names,addresses,cities,states,zips,phones,dates,years,licences,websites,numdisp,ndyear,ndstate
175253102,"Organica Patient Group","856 S Hwy 89","Chino Valley","Arizona","86323","9286365566","February 25th, 2013",2013,"medical","http://weedmaps.com/dispensaries/organica-patient-group#/details",1,47,14
952331450,"Cave Creek Cannabis","6812 E. Cave Creek Rd.","Cave Creek","Arizona","85331","4807798420","September 16th, 2014",2014,"medical","http://weedmaps.com/dispensaries/cave-creek-cannabis#/details",1,65,14
373431267,"SWC Tempe State Licensed Dispensary","2009 East 5th St Suite 11","Tempe","Arizona","85281","4802456751","May 25th, 2014",2014,"medical","http://weedmaps.com/dispensaries/swc-tempe-state-licensed-dispensary#/details",1,65,14
741738982,"Glendale Greenhouse","8160 W. Union Hills Dr.","Glendale","Arizona","85308","6233851310","June 23rd, 2015",2015,"medical","http://weedmaps.com/dispensaries/glendale-greenhouse#/details",1,107,14
252244050,"Superior Organics","750 S Belmont Ave","Superior","Arizona","85173","5206891960","October 5th, 2015",2015,"medical","http://weedmaps.com/dispensaries/superior-organics-2-2#/details",1,107,14
738193831,"Arizona Natural Selections of Scottsdale","7320 E Butherus Dr #100","Scottsdale","Arizona","85260","4805751245","December 9th, 2014",2014,"medical","http://weedmaps.com/dispensaries/arizona-natural-selections-of-scottsdale#/details",1,65,14
719706862,"Arizona Natural Remedies","22041 N. 23rd Ave","Phoenix","Arizona","85027","6235820436","June 10th, 2014",2014,"medical","http://weedmaps.com/dispensaries/arizona-natural-remedies#/details",1,65,14
133280128,"Hana Kingman","2095 East Northern Avenue","Kingman","Arizona","86409","9286920000","February 21st, 2015",2015,"medical","http://weedmaps.com/dispensaries/hana-kingman#/details",1,107,14
204153731,"The Downtown Dispensary","221 E. 6th Street Suite #105","Tucson","Arizona","85705","5208380492","September 28th, 2013",2013,"medical","http://weedmaps.com/dispensaries/the-downtown-dispensary#/details",1,47,14
531594454,"Leaf Life","1860 E Salk Drive Suite B1","Casa Grande","Arizona","85122","5203509880","August 25th, 2008",2008,"medical","http://weedmaps.com/dispensaries/leaf-life#/details",1,2,14
619829063,"Herbal Wellness Center - Phoenix","4126 W Indian School Rd","Phoenix","Arizona","85019","6026353502","May 3rd, 2013",2013,"medical","http://weedmaps.com/dispensaries/herbal-wellness-center#/details",1,47,14
538970633,"Desert Bloom Re-Leaf Center","8060 E 22nd St Suite 108","Tucson","Arizona","85710","5208861760","May 9th, 2012",2012,"medical","http://weedmaps.com/dispensaries/desert-bloom-re-leaf-center#/details",1,16,14
388854294,"White Mountain Health Center","9420 W Bell Rd suite 108","Sun City","Arizona","85351","6233744141","August 25th, 2014",2014,"medical","http://weedmaps.com/dispensaries/white-mountain-health-center#/details",1,65,14
306792425,"Sunflower Meds Mesa","5205 E University Dr","Mesa","Arizona","85205","4805005054","August 20th, 2015",2015,"medical","http://weedmaps.com/dispensaries/sunflower-meds-mesa#/details",1,107,14
193344064,"The Kind Center, Inc. ","7832 Balboa Blvd.","Van Nuys","California","91406","8186164335","February 20th, 2010",2010,"medical","http://weedmaps.com/dispensaries/the-kind-center-inc#/details",1,17,170
671786787,"Mercy Wellness of Cotati","7950 Redwood Dr. Suite 9","Cotati","California","94931","7077951600","June 25th, 2013",2013,"medical","http://weedmaps.com/dispensaries/mercy-wellness#/details",1,47,170
561638276,"Zen Noho Prop D","5142 Vineland Avenue","North Hollywood","California","91601","8184873737","December 6th, 2012",2012,"medical","http://weedmaps.com/dispensaries/magnolia-wellness-center#/details",1,16,170
408422213,"The Heights Collective","19261 Colima Rd UNIT D","Rowland Heights","California","91748","6264304067","September 12th, 2014",2014,"medical","http://weedmaps.com/dispensaries/the-heights#/details",1,65,170
771448587,"ShowGrow Santa Ana","1625 E St. Gertrude Place","Santa Ana","California","92705","949565GROW","January 27th, 2012",2012,"medical","http://weedmaps.com/dispensaries/showgrow-santa-ana#/details",1,16,170
